レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品
R1176,西区,女性,20代,火,2024/10/24,11:13,昼,575,卵 パン チョコレート
R1177,西区,男性,40代,水,2024/11/23,20:24,夜,763,チョコレート ポテトチップス キャンディ
R1178,西区,女性,30代,月,2024/05/31,17:43,夜,1054,フルーツ ヨーグルト 野菜ジュース 栄養ドリンク ガム
R1179,西区,男性,50代,木,2024/03/28,17:16,夜,770,アイス ガム チョコレート 炭酸飲料
R1180,西区,男性,30代,水,2024/09/18,20:17,夜,1087,お茶 サンドイッチ ジュース
R1181,西区,男性,60代以上,水,2024/02/01,22:17,夜,659,歯ブラシ 洗剤 トイレットペーパー ティッシュ
R1182,西区,女性,40代,木,2024/11/17,07:05,朝,993,アイス ポテトチップス チョコレート キャンディ
R1183,西区,男性,30代,日,2024/03/25,09:35,朝,1209,トイレットペーパー 洗剤 歯ブラシ
R1184,西区,男性,20代,金,2024/06/25,10:54,朝,414,ティッシュ
R1185,西区,男性,60代以上,土,2024/06/11,14:13,昼,963,コーヒー ジュース お茶 サンドイッチ
R1186,西区,男性,40代,水,2024/07/11,20:18,夜,579,チョコレート キャンディ
R1187,西区,女性,20代,火,2024/08/10,11:38,昼,349,炭酸飲料 トイレットペーパー
R1188,西区,男性,20代,水,2024/02/11,13:02,昼,1197,炭酸飲料 ガム キャンディ アイス
R1189,西区,男性,40代,月,2024/04/05,12:00,昼,1084,カップ麺 缶コーヒー 弁当 肉まん
R1190,西区,女性,20代,火,2024/11/21,16:30,昼,550,カップ麺 缶コーヒー アイス
R1191,西区,男性,60代以上,月,2024/01/09,18:22,夜,1197,炭酸飲料 ポテトチップス キャンディ ガム
R1192,西区,女性,10代,月,2024/02/24,22:07,夜,1029,缶コーヒー 肉まん 卵
R1193,西区,女性,30代,日,2024/07/16,13:28,昼,835,アイス 炭酸飲料 ジュース
R1194,西区,男性,10代,火,2024/10/13,14:07,昼,754,お茶 コーヒー
R1195,西区,女性,60代以上,火,2024/09/12,09:48,朝,696,ガム ポテトチップス アイス
R1196,西区,女性,10代,日,2024/02/26,12:56,昼,788,おにぎり パン 卵 洗剤
R1197,西区,女性,60代以上,木,2024/05/14,16:31,昼,533,キャンディ チョコレート
R1198,西区,男性,60代以上,土,2024/01/28,16:12,昼,806,アイス 野菜ジュース
R1199,西区,男性,10代,金,2024/10/24,19:45,夜,348,お茶
R1200,西区,男性,40代,日,2024/08/15,12:46,昼,705,シャンプー ティッシュ 歯ブラシ
